pair_number,left_group,right_group,same_group,same_family,same_formula,mean_score_correlation,median_date_score_correlation,mean_top_jaccard,mean_bottom_jaccard,complete_correlation_dates
4210,Trading,Accounting,False,False,False,0.09405429,0.12138549,0.12938571,0.12324335,68
4211,Trading,Price,False,False,False,-0.110761456,-0.12079603,0.09337943,0.09163516,103
4212,Trading,Price,False,False,False,-0.080819696,-0.07720375,0.1026986,0.096880555,103
4213,Trading,Price,False,False,False,-0.09925882,-0.11091472,0.093557134,0.096331075,103
4214,Trading,Price,False,False,False,-0.018628346,-0.021361573,0.14283754,0.092128135,103
4215,Trading,Price,False,False,False,-0.079900146,-0.084775895,0.11660972,0.0843809,103
4216,Trading,Price,False,False,False,-0.022983303,-0.04109036,0.11387386,0.122119665,103
4217,Trading,Price,False,False,False,-0.0105685145,-0.020751629,0.13202855,0.100785784,103
4218,Trading,Price,False,False,False,0.012042132,0.013694484,0.13767897,0.10203232,103
4219,Trading,Price,False,False,False,-0.0066155205,-0.0080327,0.11431077,0.11548933,103
4220,Trading,Price,False,False,False,-0.032165635,-0.032788917,0.12084217,0.1036015,103
4221,Trading,Price,False,False,False,-0.1259084,-0.124492586,0.07103275,0.09899843,103
4222,Trading,Price,False,False,False,0.110387914,0.12858105,0.18427551,0.11787914,103
4223,Trading,Accounting,False,False,False,-0.005711794,-0.005314548,0.12937716,0.08552726,103
4224,Trading,Accounting,False,False,False,-0.0385498,-0.03885837,0.082216516,0.07688799,91
4225,Trading,Accounting,False,False,False,-0.033257782,-0.03174975,0.08981242,0.110380314,103
4226,Trading,Accounting,False,False,False,-0.007891157,-0.0010024977,0.072278194,0.08024754,102
4227,Trading,Accounting,False,False,False,-0.1744202,-0.17345913,0.08392934,0.06991439,103
4228,Trading,Accounting,False,False,False,-0.12800936,-0.12224651,0.08617588,0.082225464,103
4229,Trading,Accounting,False,False,False,-0.040308647,-0.03541954,0.09384098,0.1129057,103
4230,Trading,Accounting,False,False,False,-0.065679975,-0.06857629,0.0760836,0.12838373,103
4231,Trading,Accounting,False,False,False,-0.32635286,-0.34227365,0.04573218,0.047451727,103
4232,Trading,Accounting,False,False,False,0.04587223,0.065381624,0.13609545,0.10391793,103
4233,Trading,Accounting,False,False,False,0.050593033,0.06990509,0.14021967,0.09254978,103
4234,Trading,Price,False,False,False,0.6678729,0.6700468,0.32139322,0.42196935,103
4235,Trading,Price,False,False,False,-0.02711469,-0.01865712,0.10529986,0.107140884,103
4236,Trading,Price,False,False,False,-0.0073916977,0.006487943,0.108184025,0.09045714,103
4237,Trading,Price,False,False,False,-0.011654319,0.0091280015,0.10028099,0.09084998,103
4238,Trading,Accounting,False,False,False,0.03302317,0.042454693,0.14563544,0.06456114,91
4239,Trading,Accounting,False,False,False,0.15614325,0.16209078,0.1283143,0.10043101,103
4240,Trading,Event,False,False,False,-0.025698433,-0.015857968,0.0,0.003422555,99
4241,Trading,Accounting,False,False,False,0.18738775,0.2081047,0.15231557,0.027817242,103
4242,Trading,Price,False,False,False,-0.19627336,-0.19960293,0.050785225,0.08389827,103
4243,Trading,Price,False,False,False,-0.11076148,-0.12079603,0.09337943,0.09163516,103
4244,Trading,Price,False,False,False,-0.023165178,-0.028994448,0.10326711,0.11232049,103
4245,Trading,Price,False,False,False,-0.008728581,-0.0136072375,0.10651486,0.11425261,103
4246,Trading,Accounting,False,False,False,-0.09154325,-0.0929029,0.08473774,0.0979652,103
4247,Trading,Accounting,False,False,False,-0.1341173,-0.13207966,0.07976289,0.084714666,103
4248,Trading,Accounting,False,False,False,-0.09067588,-0.08225427,0.10669465,0.06983571,103
4249,Trading,Accounting,False,False,False,-0.08714368,-0.08333201,0.090543136,0.0,103
4250,Trading,Trading,True,True,False,-0.09607212,-0.09973654,0.095879406,0.081328,103
4251,Trading,Trading,True,False,False,-0.27974263,-0.28924972,0.06523814,0.06028501,86
4252,Trading,Price,False,False,False,0.025621193,0.025527647,0.13874504,0.11093388,103
4253,Trading,Accounting,False,False,False,0.09385381,0.09812481,0.09132823,0.0,92
