population,variant,allocation,period,dates,mean_ic,mean_spread,positive_ic_fraction,positive_spread_fraction
us_domestic_fixed,us_eligible,trailing_positive_evidence,2020-2022,30,-0.02808603327163546,-0.016340266827817432,0.4666666666666667,0.5333333333333333
us_domestic_fixed,us_eligible,trailing_positive_evidence,2023-2026,35,0.0015314474170358837,-0.00840487463893028,0.4857142857142857,0.5142857142857142
us_domestic_fixed,us_native,equal_group,2016-2019,36,0.026135876187909354,0.0025252745703421256,0.6388888888888888,0.5833333333333334
us_domestic_fixed,us_native,equal_group,2020-2022,30,0.0021796191425998,-0.007483450606729233,0.6,0.6333333333333333
us_domestic_fixed,us_native,equal_group,2023-2026,35,-0.0028694914359950357,-0.011557800760482401,0.4,0.4
us_domestic_fixed,us_native,equal_signal,2016-2019,36,0.02852708469370481,0.0020557144636972314,0.6388888888888888,0.4722222222222222
us_domestic_fixed,us_native,equal_signal,2020-2022,30,-0.009392028348786339,-0.014217209070209767,0.6,0.5666666666666667
us_domestic_fixed,us_native,equal_signal,2023-2026,35,-0.01153726967558772,-0.01340929679280603,0.45714285714285713,0.37142857142857144
us_domestic_fixed,us_native,inverse_redundancy,2020-2022,30,0.004291077981555562,-0.006983932115794457,0.6,0.6333333333333333
us_domestic_fixed,us_native,inverse_redundancy,2023-2026,35,0.00028380416851591414,-0.009399651832474676,0.37142857142857144,0.4
us_domestic_fixed,us_native,trailing_positive_evidence,2020-2022,30,-0.00965534281816995,-0.009052774834975016,0.5666666666666667,0.6
us_domestic_fixed,us_native,trailing_positive_evidence,2023-2026,35,0.01720082667133221,0.002510538452160587,0.5142857142857142,0.4857142857142857
