population,variant,allocation,metric,block_length_months,replications,observations,estimate,ci_2_5,bootstrap_median,ci_97_5,p_two_sided
gbp_fixed,native,equal_group,ic,3,1000,103,0.04334792547420217,0.022602173606554095,0.043960461505608645,0.06237366548386923,0.0
gbp_fixed,native,equal_group,spread,3,1000,103,0.003813240511896597,-0.003013872122775554,0.003955836775035821,0.00992519351994659,0.24
gbp_fixed,native,equal_group,spread_winsorised,3,1000,103,0.005100403304363766,-0.0011870785016001167,0.005259167946470286,0.01131624748531091,0.12
gbp_fixed,native,equal_group,net_spread_25bps,3,1000,102,0.0015569954477108162,-0.005325557379886492,0.0017208680340745142,0.007562920165068816,0.612
gbp_fixed,native,equal_group,ic,12,1000,103,0.04334792547420217,0.026677506478396673,0.04383312971288893,0.05999016093842228,0.0
gbp_fixed,native,equal_group,spread,12,1000,103,0.003813240511896597,-0.0027371976444366107,0.0038250666699066378,0.009742945368408047,0.236
gbp_fixed,native,equal_group,spread_winsorised,12,1000,103,0.005100403304363766,-0.0008196090188186224,0.0051829360130153474,0.010739940062052826,0.098
gbp_fixed,native,equal_group,net_spread_25bps,12,1000,102,0.0015569954477108162,-0.005135958623319711,0.0016935548594061566,0.007841046360671136,0.628
gbp_fixed,native,equal_signal,ic,6,2000,103,0.038241428526140465,0.018268001482006562,0.03833772738522976,0.057036039619967706,0.0
gbp_fixed,native,equal_signal,spread,6,2000,103,0.0015233127753730728,-0.005318197589366459,0.001511742051155963,0.008000762316612117,0.672
gbp_fixed,native,equal_signal,spread_winsorised,6,2000,103,0.002978776015648857,-0.0035861827758762927,0.00305014227607988,0.008857613593829585,0.375
gbp_fixed,native,equal_signal,net_spread_25bps,6,2000,102,-0.0008125781527593891,-0.007799611633468085,-0.0006144010630028257,0.005689111639237674,0.851
gbp_fixed,native,equal_signal,ic,3,1000,103,0.038241428526140465,0.0173909617792885,0.03874068783810851,0.06033371296227808,0.0
gbp_fixed,native,equal_signal,spread,3,1000,103,0.0015233127753730728,-0.005626709720550218,0.0016858848112600727,0.008720707952660035,0.708
gbp_fixed,native,equal_signal,spread_winsorised,3,1000,103,0.002978776015648857,-0.0036554156052451578,0.00315591916652669,0.009987179512868838,0.374
gbp_fixed,native,equal_signal,net_spread_25bps,3,1000,102,-0.0008125781527593891,-0.00809640857023829,-0.0008627024927876102,0.006587490162344793,0.818
gbp_fixed,native,equal_signal,ic,12,1000,103,0.038241428526140465,0.01942948456170028,0.03865403183474836,0.05826661893720524,0.0
gbp_fixed,native,equal_signal,spread,12,1000,103,0.0015233127753730728,-0.004574858257206527,0.0014349399918647775,0.007914520430159796,0.614
gbp_fixed,native,equal_signal,spread_winsorised,12,1000,103,0.002978776015648857,-0.003229408719445751,0.003083462083106488,0.009114460869515228,0.338
gbp_fixed,native,equal_signal,net_spread_25bps,12,1000,102,-0.0008125781527593891,-0.0074571596147302065,-0.0004611609853219298,0.00554799783644031,0.886
gbp_fixed,native,inverse_redundancy,ic,6,2000,67,0.04533382775740571,0.018565064827632736,0.04507303457910796,0.06977984976843803,0.0
gbp_fixed,native,inverse_redundancy,spread,6,2000,67,0.00385261030959221,-0.005358248560101165,0.0039587664837287834,0.012255595206461013,0.353
gbp_fixed,native,inverse_redundancy,spread_winsorised,6,2000,67,0.0056348330446020145,-0.0031779878349505373,0.005524614174809516,0.013660249949596795,0.205
gbp_fixed,native,inverse_redundancy,net_spread_25bps,6,2000,66,0.0015571374510513307,-0.007014878031818613,0.0014418020764138503,0.009716428316801019,0.704
gbp_fixed,native,inverse_redundancy,ic,3,1000,67,0.04533382775740571,0.019059410954143714,0.04491030533686909,0.07040835583062732,0.0
gbp_fixed,native,inverse_redundancy,spread,3,1000,67,0.00385261030959221,-0.004460558106409725,0.00392056391508732,0.012244381383234249,0.362
gbp_fixed,native,inverse_redundancy,spread_winsorised,3,1000,67,0.0056348330446020145,-0.0025877114640590953,0.0057025695962052494,0.013271439708023058,0.158
gbp_fixed,native,inverse_redundancy,net_spread_25bps,3,1000,66,0.0015571374510513307,-0.00778421640807495,0.0013425951583305132,0.009913972743301,0.78
gbp_fixed,native,inverse_redundancy,ic,12,1000,67,0.04533382775740571,0.02007807980407424,0.04491121471475067,0.06587453260034437,0.0
gbp_fixed,native,inverse_redundancy,spread,12,1000,67,0.00385261030959221,-0.004687817336381792,0.003972280290865247,0.011094325579221073,0.356
gbp_fixed,native,inverse_redundancy,spread_winsorised,12,1000,67,0.0056348330446020145,-0.002580007203781411,0.005574201574229285,0.012292228403777647,0.184
gbp_fixed,native,inverse_redundancy,net_spread_25bps,12,1000,66,0.0015571374510513307,-0.006189558886713054,0.0016459029474874293,0.009157966779333162,0.72
gbp_fixed,native,trailing_positive_evidence,ic,6,2000,67,0.03535252763663375,0.017302506961399504,0.03510370812020351,0.05362500093627513,0.001
gbp_fixed,native,trailing_positive_evidence,spread,6,2000,67,0.0034346192859112815,-0.004144817318258662,0.0034807769677414895,0.010387868840056163,0.354
gbp_fixed,native,trailing_positive_evidence,spread_winsorised,6,2000,67,0.004623549467422485,-0.002587089384609052,0.004586395303849279,0.011019317618345754,0.192
gbp_fixed,native,trailing_positive_evidence,net_spread_25bps,6,2000,66,0.0012281745564538963,-0.006185274634413056,0.001530888803911157,0.00820137729379196,0.677
gbp_fixed,native,trailing_positive_evidence,ic,3,1000,67,0.03535252763663375,0.012566896889720314,0.035124513763225215,0.05548574306284423,0.0
gbp_fixed,native,trailing_positive_evidence,spread,3,1000,67,0.0034346192859112815,-0.004630152365434781,0.0036318208467989352,0.010616458549538951,0.406
gbp_fixed,native,trailing_positive_evidence,spread_winsorised,3,1000,67,0.004623549467422485,-0.0024501199060254085,0.00491848031339544,0.011711971438364367,0.2
gbp_fixed,native,trailing_positive_evidence,net_spread_25bps,3,1000,66,0.0012281745564538963,-0.007256426349719502,0.001283680544332636,0.008858347991612187,0.754
gbp_fixed,native,trailing_positive_evidence,ic,12,1000,67,0.03535252763663375,0.016358582822044825,0.03545719949095609,0.052694420335713595,0.0
gbp_fixed,native,trailing_positive_evidence,spread,12,1000,67,0.0034346192859112815,-0.004691353328021113,0.0034273937520719624,0.00968014994345354,0.386
gbp_fixed,native,trailing_positive_evidence,spread_winsorised,12,1000,67,0.004623549467422485,-0.0018550067172058227,0.004895058184056871,0.01095131209302965,0.144
gbp_fixed,native,trailing_positive_evidence,net_spread_25bps,12,1000,66,0.0012281745564538963,-0.006846706314552012,0.001235329591274396,0.008631524414129857,0.744
us_domestic_fixed,us_deduplicated,equal_group,ic,6,2000,101,0.003860482209066419,-0.02108575856650701,0.00363717567225546,0.031471134764069535,0.776
us_domestic_fixed,us_deduplicated,equal_group,spread,6,2000,101,-0.0047109801729440315,-0.014965870137104641,-0.004612155379417464,0.0055960566461836555,0.351
us_domestic_fixed,us_deduplicated,equal_group,spread_winsorised,6,2000,101,-0.0026222730762034893,-0.012127547020855353,-0.0029226276284015093,0.006608768283879787,0.539
us_domestic_fixed,us_deduplicated,equal_group,net_spread_25bps,6,2000,100,-0.006249688558900797,-0.016676750662578836,-0.006415262544656073,0.004533402413050391,0.203
us_domestic_fixed,us_deduplicated,equal_group,ic,3,1000,101,0.003860482209066419,-0.020787641332106373,0.00413789788284223,0.028522147452437422,0.73
us_domestic_fixed,us_deduplicated,equal_group,spread,3,1000,101,-0.0047109801729440315,-0.015245723333601316,-0.004875669978885722,0.0052813947984992945,0.35
us_domestic_fixed,us_deduplicated,equal_group,spread_winsorised,3,1000,101,-0.0026222730762034893,-0.011010832572362109,-0.002524611753959327,0.005691333851173455,0.574
us_domestic_fixed,us_deduplicated,equal_group,net_spread_25bps,3,1000,100,-0.006249688558900797,-0.015670784074085176,-0.006343022510638993,0.0043194891372592,0.22
us_domestic_fixed,us_deduplicated,equal_group,ic,12,1000,101,0.003860482209066419,-0.02133335944266574,0.003529332862817872,0.029143100102137186,0.778
us_domestic_fixed,us_deduplicated,equal_group,spread,12,1000,101,-0.0047109801729440315,-0.015128400132656402,-0.0047921921411733705,0.007109040912982942,0.388
us_domestic_fixed,us_deduplicated,equal_group,spread_winsorised,12,1000,101,-0.0026222730762034893,-0.012058911450157504,-0.002905523706084572,0.0076382793430305245,0.578
us_domestic_fixed,us_deduplicated,equal_group,net_spread_25bps,12,1000,100,-0.006249688558900797,-0.017791549893969177,-0.006301200007519507,0.004502392652531388,0.286
us_domestic_fixed,us_deduplicated,equal_signal,ic,6,2000,101,0.005582739113950159,-0.01994586268106191,0.006069797422727757,0.030603823729458992,0.645
us_domestic_fixed,us_deduplicated,equal_signal,spread,6,2000,101,-0.005170213703134823,-0.016227129166684454,-0.005492296642045748,0.004168024210387351,0.293
us_domestic_fixed,us_deduplicated,equal_signal,spread_winsorised,6,2000,101,-0.0029461022251826303,-0.01200385427580934,-0.002922841051691832,0.006185844813601885,0.523
us_domestic_fixed,us_deduplicated,equal_signal,net_spread_25bps,6,2000,100,-0.006803411653176744,-0.017303282075396317,-0.006964874340947816,0.002833347493533097,0.185
