population,variant,signal_date,signals,weighted_sleeve_turnover,aggregate_sleeve_turnover,trade_cancellation,aggregate_gross_exposure,aggregate_net_exposure,top10_trade_share,capacity_line_items,capacity_p10_gbp_at_1pct,capacity_median_gbp_at_1pct,capacity_p10_gbp_at_5pct,capacity_median_gbp_at_5pct,capacity_p10_gbp_at_10pct,capacity_median_gbp_at_10pct
gbp_fixed,broad_deduplicated,2018-11-30,106,0.30691735045629054,0.0932416578632994,0.6961994565485526,0.36818416207306315,-4.163336342344337e-17,0.02011548535869581,2948,213373456.7083871,2401610377.3106427,1066867283.5419356,12008051886.553215,2133734567.0838711,24016103773.10643
gbp_fixed,broad_deduplicated,2018-12-31,106,1.1327714402171256,0.22005147059548066,0.8057406262349782,0.35144008510804164,-3.469446951953614e-17,0.01681450406127272,1521,54382182.207080394,1492683819.9714396,271910911.035402,7463419099.857198,543821822.070804,14926838199.714396
gbp_fixed,broad_deduplicated,2019-01-31,106,0.9960924417441909,0.18808066512879362,0.811181515643811,0.3506191152928381,0.0,0.025413734956675628,2824,99779683.50128296,1140782888.0853832,498898417.50641483,5703914440.426916,997796835.0128297,11407828880.853832
gbp_fixed,broad_deduplicated,2019-02-28,106,0.3408624336055103,0.10760459624470572,0.6843166461422394,0.37436838838139985,1.3877787807814457e-17,0.01742597192898528,2823,177719673.12589803,2003397930.7668245,888598365.6294901,10016989653.834122,1777196731.2589803,20033979307.668243
gbp_fixed,broad_deduplicated,2019-04-30,106,0.8590526993975645,0.1880973546971288,0.7810409596186154,0.3668928745688128,2.0816681711721685e-17,0.025959042199627906,2342,128900067.60348979,1953939595.895089,644500338.017449,9769697979.475445,1289000676.034898,19539395958.95089
gbp_fixed,broad_deduplicated,2019-05-31,106,0.6812262323731021,0.15746168507619757,0.7688555173107939,0.3796343761366693,4.85722573273506e-17,0.017508787089194195,2948,149849844.40772673,2143532723.390287,749249222.0386336,10717663616.951435,1498498444.0772672,21435327233.90287
gbp_fixed,broad_deduplicated,2019-07-31,106,0.5858586991198782,0.1581734780811222,0.7300142878841903,0.3359572494358358,1.0408340855860843e-17,0.01645225049656476,2988,133540062.71096538,1438581385.121458,667700313.554827,7192906925.60729,1335400627.109654,14385813851.21458
gbp_fixed,broad_deduplicated,2019-08-30,106,0.3493137298908574,0.09842118223171004,0.7182441633128431,0.3358527712633288,-2.7755575615628914e-17,0.021367258047715703,2956,216323563.14282995,2591172893.732915,1081617815.7141497,12955864468.664574,2163235631.4282994,25911728937.329147
gbp_fixed,broad_deduplicated,2019-09-30,106,0.5559275406717943,0.13697710233597427,0.7536061944863384,0.340467862054771,4.163336342344337e-17,0.017196489174679946,2800,167596490.3007667,1927054227.148424,837982451.5038335,9635271135.74212,1675964903.007667,19270542271.48424
gbp_fixed,broad_deduplicated,2019-10-31,106,0.4341838688761586,0.10759914841135379,0.7521806862842155,0.32978687375821886,7.806255641895632e-17,0.017965193921926116,2965,197094489.14877242,2518792054.056872,985472445.7438622,12593960270.28436,1970944891.4877243,25187920540.56872
gbp_fixed,broad_deduplicated,2019-11-29,106,0.35999717369746154,0.10490334033530516,0.7085995446634672,0.3302191392788869,-2.0816681711721685e-17,0.017472657552379475,2960,218404030.33169207,2273906634.672885,1092020151.6584604,11369533173.364426,2184040303.3169208,22739066346.72885
gbp_fixed,broad_deduplicated,2019-12-31,106,0.9836621177559556,0.1944716529848622,0.8022983202519647,0.34451740778312007,-4.683753385137379e-17,0.017217173893877953,2030,109484495.2079386,1395292660.5190353,547422476.039693,6976463302.595178,1094844952.079386,13952926605.190355
gbp_fixed,broad_deduplicated,2020-01-31,106,0.9751043673870491,0.18743873700823555,0.8077757178849396,0.3330590789762733,1.9081958235744878e-17,0.01637285240485862,2341,108200878.09725848,1472115725.06176,541004390.4862924,7360578625.3088,1082008780.9725847,14721157250.6176
